"","X1","age","sex","education","pes19_votechoice2019","vote_liberal","vote_conservative","vote_bloc","vote_ndp","vote_green","vote_ppc","vote_other","vote_spoil","age_cat"
"1094",1133,74,"Male","Below Bachelors","Green Party",0,0,0,0,1,0,0,0,"[65,Inf)"
"1095",1134,43,"Female","Bachelors","Green Party",0,0,0,0,1,0,0,0,"[30,50)"
"1096",1136,66,"Female","High School","NDP",0,0,0,1,0,0,0,0,"[65,Inf)"
"1097",1137,36,"Male","Graduate Degree","Conservative Party",0,1,0,0,0,0,0,0,"[30,50)"
"1098",1138,48,"Female","Below Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[30,50)"
"1099",1139,32,"Female","Bachelors","NDP",0,0,0,1,0,0,0,0,"[30,50)"
"1100",1140,38,"Female","Below Bachelors","NDP",0,0,0,1,0,0,0,0,"[30,50)"
"1101",1141,60,"Male","Below Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[50,65)"
"1102",1142,69,"Male","Bachelors","Liberal Party",1,0,0,0,0,0,0,0,"[65,Inf)"
"1103",1143,66,"Female","Bachelors","Liberal Party",1,0,0,0,0,0,0,0,"[65,Inf)"
"1104",1144,36,"Female","High School","Conservative Party",0,1,0,0,0,0,0,0,"[30,50)"
"1105",1145,43,"Female","Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[30,50)"
"1106",1146,44,"Female","Below Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[30,50)"
"1107",1147,57,"Female","Below Bachelors","Green Party",0,0,0,0,1,0,0,0,"[50,65)"
"1108",1148,64,"Female","High School","NDP",0,0,0,1,0,0,0,0,"[50,65)"
"1109",1149,77,"Female","Bachelors","Liberal Party",1,0,0,0,0,0,0,0,"[65,Inf)"
"1110",1150,41,"Female","Bachelors","People's Party",0,0,0,0,0,1,0,0,"[30,50)"
"1111",1151,47,"Female","High School","Conservative Party",0,1,0,0,0,0,0,0,"[30,50)"
"1112",1152,37,"Female","Below Bachelors","NDP",0,0,0,1,0,0,0,0,"[30,50)"
"1113",1153,28,"Female","Below Bachelors","NDP",0,0,0,1,0,0,0,0,"[18,30)"
"1114",1154,63,"Male","Below Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[50,65)"
"1115",1155,30,"Female","Bachelors","Liberal Party",1,0,0,0,0,0,0,0,"[30,50)"
"1116",1156,78,"Male","High School","Conservative Party",0,1,0,0,0,0,0,0,"[65,Inf)"
"1117",1157,65,"Female","Below Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[65,Inf)"
"1118",1159,61,"Male","Below Bachelors","Liberal Party",1,0,0,0,0,0,0,0,"[50,65)"
"1119",1160,62,"Female","Graduate Degree","Green Party",0,0,0,0,1,0,0,0,"[50,65)"
"1120",1161,46,"Male","Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[30,50)"
"1121",1162,66,"Female","Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[65,Inf)"
"1122",1163,72,"Male","High School","Liberal Party",1,0,0,0,0,0,0,0,"[65,Inf)"
"1123",1165,74,"Female","Below High School","Conservative Party",0,1,0,0,0,0,0,0,"[65,Inf)"
"1124",1166,48,"Female","Bachelors","Green Party",0,0,0,0,1,0,0,0,"[30,50)"
"1125",1167,55,"Female","Bachelors","Liberal Party",1,0,0,0,0,0,0,0,"[50,65)"
"1126",1168,30,"Female","Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[30,50)"
"1127",1169,44,"Male","Below Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[30,50)"
"1128",1170,46,"Female","High School","Conservative Party",0,1,0,0,0,0,0,0,"[30,50)"
"1129",1171,41,"Female","High School","Liberal Party",1,0,0,0,0,0,0,0,"[30,50)"
"1130",1172,52,"Male","Below Bachelors","NDP",0,0,0,1,0,0,0,0,"[50,65)"
"1131",1173,37,"Male","Below Bachelors","Liberal Party",1,0,0,0,0,0,0,0,"[30,50)"
"1132",1174,39,"Female","High School","NDP",0,0,0,1,0,0,0,0,"[30,50)"
"1133",1175,71,"Female","Below Bachelors","Liberal Party",1,0,0,0,0,0,0,0,"[65,Inf)"
"1134",1176,54,"Male","Graduate Degree","Conservative Party",0,1,0,0,0,0,0,0,"[50,65)"
"1135",1177,44,"Male","Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[30,50)"
"1136",1178,27,"Female","Below High School","Liberal Party",1,0,0,0,0,0,0,0,"[18,30)"
"1137",1179,79,"Male","Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[65,Inf)"
"1138",1181,73,"Male","Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[65,Inf)"
"1139",1182,42,"Male","Below Bachelors","NDP",0,0,0,1,0,0,0,0,"[30,50)"
"1140",1183,69,"Male","Below Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[65,Inf)"
"1141",1184,69,"Male","Below Bachelors","Bloc Qu̩b̩cois",0,0,1,0,0,0,0,0,"[65,Inf)"
"1142",1185,44,"Male","Below Bachelors","NDP",0,0,0,1,0,0,0,0,"[30,50)"
"1143",1186,44,"Female","Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[30,50)"
"1144",1187,50,"Male","Below Bachelors","Liberal Party",1,0,0,0,0,0,0,0,"[50,65)"
"1145",1188,67,"Female","Graduate Degree","Conservative Party",0,1,0,0,0,0,0,0,"[65,Inf)"
"1146",1189,65,"Female","Below Bachelors","Liberal Party",1,0,0,0,0,0,0,0,"[65,Inf)"
"1147",1190,46,"Female","Below Bachelors","NDP",0,0,0,1,0,0,0,0,"[30,50)"
